"Data";"Hora (UTC)";"Temp. [Hora] (C)";"Umi. (%)";"Pressao (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Nebulosidade (Decimos)";"Insolacao (h)";"Temp. Max. [Diaria] (h)";"Temp. Min. [Diaria] (h)";"Chuva [Diaria] (mm)"
"01/08/2021";"0000";"28,7";"68,0";"";"1,0";"230,0";"8,0";"3,10";"32,1";"";""
"01/08/2021";"1200";"";"";"";"";"";"";"";"";"";""
"01/08/2021";"1800";"";"";"";"";"";"";"";"";"";""
"02/08/2021";"0000";"";"";"";"";"";"";"2,80";"30,5";"";""
"02/08/2021";"1200";"24,8";"88,0";"";"2,0";"360,0";"10,0";"";"";"23,4";"0,0"
"02/08/2021";"1800";"27,2";"79,0";"";"1,0";"360,0";"6,0";"";"";"";""
"03/08/2021";"0000";"25,9";"84,0";"";"0,0";"0,0";"3,0";"7,90";"34,1";"";""
"03/08/2021";"1200";"24,8";"86,0";"";"1,0";"50,0";"7,0";"";"";"23,1";"17,4"
"03/08/2021";"1800";"";"";"";"";"";"";"";"";"";""
"04/08/2021";"0000";"29,8";"65,0";"";"1,0";"50,0";"9,0";"6,00";"34,1";"";""
"04/08/2021";"1200";"26,4";"77,0";"";"0,0";"0,0";"7,0";"";"";"23,8";"6,8"
"04/08/2021";"1800";"";"";"";"";"";"";"";"";"";""
"05/08/2021";"0000";"28,0";"74,0";"";"1,0";"360,0";"5,0";"6,10";"33,3";"";""
"05/08/2021";"1200";"24,1";"90,0";"";"1,0";"50,0";"8,0";"";"";"23,0";"20,4"
"05/08/2021";"1800";"";"";"";"";"";"";"";"";"";""
"06/08/2021";"0000";"28,4";"80,0";"";"1,0";"360,0";"7,0";"8,20";"34,0";"";""
"06/08/2021";"1200";"27,4";"76,0";"";"1,0";"50,0";"6,0";"";"";"24,5";"0,0"
"06/08/2021";"1800";"";"";"";"";"";"";"";"";"";""
"07/08/2021";"0000";"29,2";"73,0";"";"0,0";"0,0";"0,0";"6,10";"34,0";"";""
"07/08/2021";"1200";"26,5";"87,0";"";"2,0";"90,0";"10,0";"";"";"26,2";"0,0"
"07/08/2021";"1800";"";"";"";"";"";"";"";"";"";""
"08/08/2021";"0000";"29,6";"63,0";"";"0,0";"0,0";"0,0";"7,90";"34,1";"";""
"08/08/2021";"1200";"";"";"";"";"";"";"";"";"";""
"08/08/2021";"1800";"";"";"";"";"";"";"";"";"";""
"09/08/2021";"0000";"";"";"";"";"";"";"7,80";"34,5";"";""
"09/08/2021";"1200";"28,5";"77,0";"";"1,0";"50,0";"6,0";"";"";"25,5";"0,0"
"09/08/2021";"1800";"";"";"";"";"";"";"";"";"";""
"10/08/2021";"0000";"30,2";"65,0";"";"1,0";"50,0";"0,0";"7,70";"34,2";"";""
"10/08/2021";"1200";"27,3";"82,0";"";"1,0";"360,0";"7,0";"";"";"25,3";"0,0"
"10/08/2021";"1800";"";"";"";"";"";"";"";"";"";""
"11/08/2021";"0000";"30,4";"62,0";"";"1,0";"50,0";"6,0";"8,00";"35,1";"";""
"11/08/2021";"1200";"27,2";"73,0";"";"0,0";"0,0";"5,0";"";"";"25,3";"0,0"
"11/08/2021";"1800";"";"";"";"";"";"";"";"";"";""
"12/08/2021";"0000";"26,6";"83,0";"";"1,0";"50,0";"9,0";"4,90";"34,3";"";""
"12/08/2021";"1200";"24,8";"85,0";"";"1,0";"50,0";"8,0";"";"";"24,7";"10,7"
"12/08/2021";"1800";"";"";"";"";"";"";"";"";"";""
"13/08/2021";"0000";"27,9";"77,0";"";"0,0";"0,0";"8,0";"0,00";"28,5";"";""
"13/08/2021";"1200";"24,5";"89,0";"";"1,0";"360,0";"10,0";"";"";"23,3";"17,0"
"13/08/2021";"1800";"";"";"";"";"";"";"";"";"";""
"14/08/2021";"0000";"24,2";"91,0";"";"0,0";"0,0";"10,0";"3,00";"30,5";"";""
"14/08/2021";"1200";"23,0";"95,0";"";"1,0";"50,0";"10,0";"";"";"22,9";"32,8"
"14/08/2021";"1800";"";"";"";"";"";"";"";"";"";""
"15/08/2021";"0000";"26,8";"81,0";"";"0,0";"0,0";"8,0";"6,00";"33,5";"";""
"15/08/2021";"1200";"";"";"";"";"";"";"";"";"";""
"15/08/2021";"1800";"";"";"";"";"";"";"";"";"";""
"16/08/2021";"0000";"";"";"";"";"";"";"5,20";"33,5";"";""
"16/08/2021";"1200";"26,3";"85,0";"";"1,0";"50,0";"6,0";"";"";"23,4";"0,0"
"16/08/2021";"1800";"";"";"";"";"";"";"";"";"";""
"17/08/2021";"0000";"27,6";"79,0";"";"1,0";"360,0";"8,0";"7,40";"34,4";"";""
"17/08/2021";"1200";"27,7";"78,0";"";"0,0";"0,0";"5,0";"";"";"25,2";"5,2"
"17/08/2021";"1800";"";"";"";"";"";"";"";"";"";""
"18/08/2021";"0000";"30,1";"69,0";"";"0,0";"0,0";"0,0";"8,10";"34,5";"";""
"18/08/2021";"1200";"28,4";"75,0";"";"1,0";"50,0";"5,0";"";"";"27,1";"0,0"
"18/08/2021";"1800";"";"";"";"";"";"";"";"";"";""
"19/08/2021";"0000";"30,1";"70,0";"";"0,0";"0,0";"0,0";"4,10";"34,2";"";""
"19/08/2021";"1200";"29,5";"71,0";"";"0,0";"0,0";"6,0";"";"";"27,2";"0,0"
"19/08/2021";"1800";"29,0";"65,0";"";"0,0";"0,0";"9,0";"";"";"";""
"20/08/2021";"0000";"29,5";"74,0";"";"0,0";"0,0";"8,0";"7,50";"34,9";"";""
"20/08/2021";"1200";"27,4";"81,0";"";"1,0";"50,0";"7,0";"";"";"25,6";"0,0"
