"Data";"Hora (UTC)";"Temp. [Hora] (C)";"Umi. (%)";"Pressao (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Nebulosidade (Decimos)";"Insolacao (h)";"Temp. Max. [Diaria] (h)";"Temp. Min. [Diaria] (h)";"Chuva [Diaria] (mm)"
"01/08/2022";"0000";"";"";"";"";"";"";"";"";"";""
"01/08/2022";"1200";"28,8";"98,0";"";"2,0";"90,0";"2,0";"";"";"22,7";"0,0"
"01/08/2022";"1800";"";"";"";"";"";"";"";"";"";""
"02/08/2022";"0000";"";"";"";"";"";"";"1,10";"31,6";"";""
"02/08/2022";"1200";"24,0";"98,0";"";"2,0";"360,0";"10,0";"";"";"23,7";"40,8"
"02/08/2022";"1800";"";"";"";"";"";"";"";"";"";""
"03/08/2022";"0000";"26,0";"92,0";"";"1,0";"280,0";"8,0";"0,20";"32,4";"";""
"03/08/2022";"1200";"24,4";"98,0";"";"1,0";"270,0";"9,0";"";"";"22,7";"0,9"
"03/08/2022";"1800";"";"";"";"";"";"";"";"";"";""
"04/08/2022";"0000";"25,8";"94,0";"";"2,0";"140,0";"10,0";"4,10";"33,4";"";""
"04/08/2022";"1200";"23,8";"88,0";"";"2,0";"140,0";"8,0";"";"";"23,0";"0,0"
"04/08/2022";"1800";"";"";"";"";"";"";"";"";"";""
"05/08/2022";"0000";"26,4";"55,0";"";"1,0";"50,0";"8,0";"5,80";"34,4";"";""
"05/08/2022";"1200";"23,8";"95,0";"";"2,0";"90,0";"8,0";"";"";"21,7";"0,0"
"05/08/2022";"1800";"";"";"";"";"";"";"";"";"";""
"06/08/2022";"0000";"22,2";"85,0";"";"1,0";"50,0";"2,0";"4,90";"35,2";"";""
"06/08/2022";"1200";"24,8";"98,0";"";"2,0";"230,0";"6,0";"";"";"22,3";"0,0"
"06/08/2022";"1800";"";"";"";"";"";"";"";"";"";""
"07/08/2022";"0000";"28,0";"83,0";"";"1,0";"50,0";"8,0";"";"";"";""
"07/08/2022";"1200";"";"";"";"";"";"";"";"";"";""
"07/08/2022";"1800";"";"";"";"";"";"";"";"";"";""
"08/08/2022";"0000";"";"";"";"";"";"";"6,60";"33,8";"";""
