"Data";"Hora (UTC)";"Temp. [Hora] (C)";"Umi. (%)";"Pressao (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Nebulosidade (Decimos)";"Insolacao (h)";"Temp. Max. [Diaria] (h)";"Temp. Min. [Diaria] (h)";"Chuva [Diaria] (mm)"
"01/02/2020";"0000";"24,6";"95,0";"";"2,0";"360,0";"10,0";"8,70";"33,4";"";""
"01/02/2020";"1200";"26,0";"92,0";"";"1,0";"50,0";"6,0";"";"";"23,4";"43,8"
"01/02/2020";"1800";"";"";"";"";"";"";"";"";"";""
"02/02/2020";"0000";"26,8";"92,0";"";"2,0";"360,0";"8,0";"5,20";"33,2";"";""
"02/02/2020";"1200";"25,8";"96,0";"";"2,0";"360,0";"8,0";"";"";"24,5";"0,3"
"02/02/2020";"1800";"";"";"";"";"";"";"";"";"";""
"03/02/2020";"0000";"28,0";"90,0";"";"1,0";"50,0";"6,0";"0,60";"31,6";"";""
"03/02/2020";"1200";"26,0";"96,0";"";"2,0";"50,0";"9,0";"";"";"25,6";"0,0"
"03/02/2020";"1800";"";"";"";"";"";"";"";"";"";""
"04/02/2020";"0000";"27,0";"93,0";"";"2,0";"360,0";"7,0";"4,30";"33,4";"";""
"04/02/2020";"1200";"27,0";"90,0";"";"2,0";"50,0";"7,0";"";"";"24,5";"0,0"
"04/02/2020";"1800";"";"";"";"";"";"";"";"";"";""
"05/02/2020";"0000";"27,8";"90,0";"";"2,0";"180,0";"8,0";"3,80";"33,4";"";""
"05/02/2020";"1200";"25,4";"93,0";"";"1,0";"50,0";"8,0";"";"";"24,5";"6,2"
"05/02/2020";"1800";"";"";"";"";"";"";"";"";"";""
"06/02/2020";"0000";"27,8";"90,0";"";"1,0";"50,0";"3,0";"4,50";"33,0";"";""
"06/02/2020";"1200";"26,0";"95,0";"";"2,0";"90,0";"8,0";"";"";"23,2";"0,0"
"06/02/2020";"1800";"";"";"";"";"";"";"";"";"";""
"07/02/2020";"0000";"26,6";"89,0";"";"2,0";"90,0";"8,0";"1,20";"32,1";"";""
"07/02/2020";"1200";"25,4";"96,0";"";"2,0";"50,0";"8,0";"";"";"24,1";"0,0"
"07/02/2020";"1800";"";"";"";"";"";"";"";"";"";""
"08/02/2020";"0000";"26,8";"92,0";"";"2,0";"360,0";"8,0";"5,00";"34,8";"";""
"08/02/2020";"1200";"25,0";"99,0";"";"2,0";"50,0";"8,0";"";"";"24,2";"0,0"
"08/02/2020";"1800";"";"";"";"";"";"";"";"";"";""
"09/02/2020";"0000";"27,8";"86,0";"";"1,0";"50,0";"4,0";"1,60";"33,4";"";""
"09/02/2020";"1200";"26,4";"88,0";"";"2,0";"50,0";"8,0";"";"";"24,5";"0,0"
"09/02/2020";"1800";"";"";"";"";"";"";"";"";"";""
"10/02/2020";"0000";"27,6";"87,0";"";"1,0";"50,0";"6,0";"6,10";"33,6";"";""
"10/02/2020";"1200";"26,0";"92,0";"";"1,0";"50,0";"9,0";"";"";"25,0";"0,3"
"10/02/2020";"1800";"";"";"";"";"";"";"";"";"";""
"11/02/2020";"0000";"25,2";"93,0";"";"1,0";"50,0";"10,0";"1,20";"29,4";"";""
"11/02/2020";"1200";"26,0";"94,0";"";"2,0";"90,0";"8,0";"";"";"24,9";"6,7"
"11/02/2020";"1800";"";"";"";"";"";"";"";"";"";""
"12/02/2020";"0000";"25,4";"95,0";"";"1,0";"50,0";"9,0";"0,90";"30,2";"";""
"12/02/2020";"1200";"25,6";"89,0";"";"2,0";"180,0";"8,0";"";"";"24,5";"23,4"
"12/02/2020";"1800";"";"";"";"";"";"";"";"";"";""
"13/02/2020";"0000";"26,0";"88,0";"";"2,0";"320,0";"8,0";"5,60";"33,8";"";""
"13/02/2020";"1200";"25,0";"97,0";"";"1,0";"90,0";"9,0";"";"";"24,2";"15,8"
"13/02/2020";"1800";"";"";"";"";"";"";"";"";"";""
"14/02/2020";"0000";"28,2";"90,0";"";"1,0";"90,0";"8,0";"2,30";"31,4";"";""
"14/02/2020";"1200";"25,4";"88,0";"";"2,0";"50,0";"8,0";"";"";"23,5";"0,5"
"14/02/2020";"1800";"";"";"";"";"";"";"";"";"";""
"15/02/2020";"0000";"25,2";"93,0";"";"2,0";"360,0";"10,0";"6,60";"33,4";"";""
"15/02/2020";"1200";"25,8";"93,0";"";"2,0";"90,0";"8,0";"";"";"23,3";"6,2"
"15/02/2020";"1800";"";"";"";"";"";"";"";"";"";""
"16/02/2020";"0000";"26,6";"91,0";"";"1,0";"360,0";"8,0";"0,70";"30,8";"";""
"16/02/2020";"1200";"24,0";"97,0";"";"2,0";"360,0";"10,0";"";"";"23,7";"10,0"
"16/02/2020";"1800";"";"";"";"";"";"";"";"";"";""
"17/02/2020";"0000";"27,0";"91,0";"";"2,0";"140,0";"4,0";"4,50";"34,2";"";""
