"Data";"Hora (UTC)";"Temp. [Hora] (C)";"Umi. (%)";"Pressao (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Nebulosidade (Decimos)";"Insolacao (h)";"Temp. Max. [Diaria] (h)";"Temp. Min. [Diaria] (h)";"Chuva [Diaria] (mm)"
"01/02/2023";"0000";"25,1";"98,0";"";"0,0";"0,0";"8,8";"6,30";"33,0";"";""
"01/02/2023";"1200";"24,8";"100,0";"";"2,1";"360,0";"8,8";"";"";"24,1";"9,0"
"01/02/2023";"1800";"";"";"";"";"";"";"";"";"";""
"02/02/2023";"0000";"27,6";"91,0";"";"0,0";"0,0";"7,5";"2,20";"32,3";"";""
"02/02/2023";"1200";"24,6";"96,0";"";"2,1";"360,0";"10,0";"";"";"24,1";"0,0"
"02/02/2023";"1800";"";"";"";"";"";"";"";"";"";""
"03/02/2023";"0000";"26,6";"94,0";"";"0,0";"0,0";"10,0";"0,00";"28,4";"";""
"03/02/2023";"1200";"23,6";"99,0";"";"2,1";"230,0";"10,0";"";"";"23,2";"47,2"
"03/02/2023";"1800";"";"";"";"";"";"";"";"";"";""
"04/02/2023";"0000";"24,8";"98,0";"";"0,0";"0,0";"10,0";"0,70";"30,0";"";""
"04/02/2023";"1200";"24,4";"98,0";"";"2,1";"320,0";"10,0";"";"";"23,6";"18,6"
"04/02/2023";"1800";"";"";"";"";"";"";"";"";"";""
"05/02/2023";"0000";"25,3";"94,0";"";"0,0";"0,0";"10,0";"";"";"";""
"05/02/2023";"1200";"";"";"";"";"";"";"";"";"";""
"05/02/2023";"1800";"";"";"";"";"";"";"";"";"";""
"06/02/2023";"0000";"";"";"";"";"";"";"1,90";"31,2";"";""
"06/02/2023";"1200";"23,4";"99,0";"";"0,0";"0,0";"10,0";"";"";"23,3";"15,0"
"06/02/2023";"1800";"";"";"";"";"";"";"";"";"";""
"07/02/2023";"0000";"27,0";"94,0";"";"0,0";"0,0";"8,8";"1,40";"31,0";"";""
"07/02/2023";"1200";"23,2";"98,0";"";"0,0";"0,0";"10,0";"";"";"22,6";"33,6"
"07/02/2023";"1800";"";"";"";"";"";"";"";"";"";""
"08/02/2023";"0000";"24,0";"96,0";"";"0,0";"0,0";"10,0";"1,20";"30,8";"";""
"08/02/2023";"1200";"24,0";"97,0";"";"2,1";"90,0";"8,8";"";"";"22,9";"4,8"
"08/02/2023";"1800";"";"";"";"";"";"";"";"";"";""
"09/02/2023";"0000";"25,4";"97,0";"";"0,0";"0,0";"10,0";"0,20";"31,6";"";""
"09/02/2023";"1200";"23,6";"99,0";"";"1,0";"360,0";"8,8";"";"";"23,2";"4,7"
"09/02/2023";"1800";"";"";"";"";"";"";"";"";"";""
"10/02/2023";"0000";"23,7";"96,0";"";"0,0";"0,0";"10,0";"2,70";"32,0";"";""
"10/02/2023";"1200";"25,8";"92,0";"";"2,1";"50,0";"7,5";"";"";"22,7";"2,6"
"10/02/2023";"1800";"";"";"";"";"";"";"";"";"";""
"11/02/2023";"0000";"26,2";"93,0";"";"2,1";"90,0";"10,0";"1,00";"30,6";"";""
"11/02/2023";"1200";"23,4";"98,0";"";"2,1";"360,0";"10,0";"";"";"22,6";"19,7"
"11/02/2023";"1800";"";"";"";"";"";"";"";"";"";""
"12/02/2023";"0000";"24,4";"99,0";"";"0,0";"0,0";"10,0";"";"";"";""
"12/02/2023";"1200";"";"";"";"";"";"";"";"";"";""
"12/02/2023";"1800";"";"";"";"";"";"";"";"";"";""
"13/02/2023";"0000";"";"";"";"";"";"";"1,20";"32,6";"";""
"13/02/2023";"1200";"25,6";"95,0";"";"2,1";"320,0";"10,0";"";"";"23,2";"1,4"
"13/02/2023";"1800";"";"";"";"";"";"";"";"";"";""
