"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/08/2023";"0000";"26,8";"27,6";"25,7";"82,0";"90,0";"77,0";"23,5";"24,0";"23,2";"993,1";"993,1";"992,5";"0,4";"174,0";"0,9";"";"0,0"
"01/08/2023";"0100";"26,0";"26,8";"25,6";"89,0";"92,0";"82,0";"24,0";"24,5";"23,5";"994,2";"994,2";"993,1";"0,4";"79,0";"0,8";"";"0,0"
"01/08/2023";"0200";"25,6";"26,5";"25,0";"92,0";"95,0";"86,0";"24,3";"24,3";"23,8";"994,4";"994,4";"994,1";"0,2";"213,0";"1,1";"";"0,0"
"01/08/2023";"0300";"25,6";"26,6";"25,5";"92,0";"93,0";"85,0";"24,2";"24,3";"23,8";"994,4";"994,6";"994,4";"0,5";"185,0";"2,2";"";"0,0"
"01/08/2023";"0400";"24,4";"25,6";"24,3";"99,0";"99,0";"92,0";"24,1";"24,4";"23,9";"993,4";"994,4";"993,4";"1,0";"331,0";"1,8";"";"0,0"
"01/08/2023";"0500";"25,0";"25,5";"24,1";"95,0";"99,0";"92,0";"24,1";"24,2";"23,6";"993,2";"993,8";"993,2";"0,8";"30,0";"3,9";"";"0,0"
"01/08/2023";"0600";"24,7";"25,2";"24,7";"96,0";"96,0";"93,0";"23,9";"24,1";"23,9";"992,5";"993,2";"992,5";"0,3";"307,0";"2,2";"";"0,0"
"01/08/2023";"0700";"23,9";"24,7";"23,8";"99,0";"100,0";"95,0";"23,8";"24,1";"23,6";"992,5";"992,5";"992,4";"0,2";"262,0";"0,7";"";"0,0"
"01/08/2023";"0800";"23,7";"23,9";"23,4";"100,0";"100,0";"99,0";"23,6";"23,8";"23,3";"992,8";"992,8";"992,4";"0,5";"31,0";"1,0";"";"0,0"
"01/08/2023";"0900";"23,4";"23,7";"23,4";"100,0";"100,0";"100,0";"23,4";"23,7";"23,4";"993,0";"993,0";"992,8";"0,3";"30,0";"1,0";"";"0,0"
"01/08/2023";"1000";"23,5";"23,5";"23,2";"100,0";"100,0";"100,0";"23,5";"23,5";"23,2";"993,7";"993,7";"993,0";"0,5";"4,0";"1,3";"20,00";"0,0"
"01/08/2023";"1100";"25,4";"25,4";"23,5";"95,0";"100,0";"95,0";"24,6";"24,6";"23,5";"994,6";"994,6";"993,7";"0,7";"46,0";"2,0";"468,80";"0,0"
"01/08/2023";"1200";"27,7";"27,8";"25,5";"84,0";"96,0";"84,0";"24,8";"25,3";"24,2";"994,9";"995,0";"994,6";"1,2";"51,0";"2,9";"1286,20";"0,0"
"01/08/2023";"1300";"28,3";"29,8";"27,0";"81,0";"88,0";"75,0";"24,7";"25,5";"24,4";"995,1";"995,1";"994,9";"1,5";"7,0";"4,7";"1638,80";"0,0"
"01/08/2023";"1400";"30,3";"30,9";"28,1";"71,0";"83,0";"68,0";"24,3";"25,6";"23,9";"994,7";"995,2";"994,7";"1,6";"34,0";"3,9";"2132,70";"0,0"
"01/08/2023";"1500";"30,7";"32,2";"29,6";"67,0";"75,0";"64,0";"23,8";"25,4";"23,5";"994,2";"994,7";"994,2";"1,4";"20,0";"5,3";"2166,80";"0,0"
"01/08/2023";"1600";"32,9";"33,1";"30,2";"60,0";"70,0";"60,0";"24,0";"25,0";"23,2";"993,2";"994,2";"993,2";"1,5";"35,0";"4,0";"2586,00";"0,0"
"01/08/2023";"1700";"33,1";"34,0";"32,2";"55,0";"63,0";"52,0";"22,9";"24,5";"22,1";"992,2";"993,2";"992,1";"1,7";"68,0";"5,1";"2562,40";"0,0"
"01/08/2023";"1800";"33,1";"34,2";"32,6";"54,0";"57,0";"48,0";"22,5";"23,3";"21,0";"991,2";"992,2";"991,2";"1,7";"70,0";"6,9";"2333,50";"0,0"
"01/08/2023";"1900";"32,8";"34,0";"32,0";"52,0";"56,0";"51,0";"21,8";"22,8";"21,6";"990,4";"991,2";"990,4";"1,5";"67,0";"5,7";"1099,00";"0,0"
"01/08/2023";"2000";"31,5";"33,0";"31,5";"55,0";"55,0";"51,0";"21,4";"22,3";"21,1";"989,9";"990,4";"989,8";"1,8";"106,0";"5,0";"388,00";"0,0"
"01/08/2023";"2100";"30,7";"31,5";"30,7";"61,0";"62,0";"55,0";"22,4";"22,8";"21,4";"990,2";"990,2";"989,9";"1,1";"91,0";"3,5";"181,80";"0,0"
"01/08/2023";"2200";"29,6";"30,7";"29,4";"64,0";"67,0";"61,0";"22,2";"22,8";"22,2";"991,1";"991,1";"990,2";"0,6";"139,0";"2,1";"21,80";"0,0"
"01/08/2023";"2300";"27,0";"29,6";"26,7";"81,0";"83,0";"64,0";"23,5";"23,9";"22,2";"991,5";"991,5";"991,0";"0,3";"306,0";"1,0";"";"0,0"
"02/08/2023";"0000";"26,1";"27,6";"26,0";"87,0";"87,0";"75,0";"23,7";"24,0";"22,8";"992,4";"992,4";"991,5";"0,4";"14,0";"0,9";"";"0,0"
"02/08/2023";"0100";"25,9";"26,5";"25,8";"90,0";"91,0";"84,0";"24,1";"24,4";"23,4";"993,0";"993,0";"992,4";"0,2";"240,0";"0,9";"";"0,0"
"02/08/2023";"0200";"25,6";"26,3";"25,6";"93,0";"93,0";"86,0";"24,4";"24,4";"23,6";"993,7";"993,7";"993,0";"0,1";"297,0";"0,6";"";"0,0"
"02/08/2023";"0300";"24,9";"25,6";"24,9";"93,0";"95,0";"91,0";"23,8";"24,4";"23,7";"993,4";"993,7";"993,4";"0,3";"12,0";"0,7";"";"0,0"
"02/08/2023";"0400";"25,1";"26,3";"24,9";"93,0";"94,0";"86,0";"23,9";"24,3";"23,7";"993,2";"993,5";"993,2";"0,2";"219,0";"1,2";"";"0,0"
"02/08/2023";"0500";"25,1";"25,6";"25,1";"95,0";"95,0";"90,0";"24,2";"24,3";"23,8";"992,7";"993,2";"992,7";"0,4";"307,0";"0,7";"";"0,0"
"02/08/2023";"0600";"24,6";"25,3";"24,5";"97,0";"97,0";"92,0";"24,0";"24,2";"23,9";"992,2";"992,7";"992,2";"0,2";"28,0";"1,0";"";"0,0"
"02/08/2023";"0700";"24,3";"24,9";"24,0";"98,0";"99,0";"95,0";"24,0";"24,2";"23,7";"992,1";"992,3";"992,1";"0,2";"291,0";"0,9";"";"0,0"
"02/08/2023";"0800";"23,8";"24,3";"23,8";"100,0";"100,0";"98,0";"23,7";"24,1";"23,7";"992,4";"992,4";"992,1";"0,3";"335,0";"0,6";"";"0,0"
"02/08/2023";"0900";"23,7";"23,7";"23,3";"100,0";"100,0";"100,0";"23,7";"23,7";"23,3";"992,9";"992,9";"992,4";"0,4";"338,0";"1,0";"";"0,0"
