"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/02/2020";"0000";"23,6";"23,7";"23,2";"96,0";"96,0";"96,0";"23,0";"23,0";"22,5";"991,7";"991,7";"991,2";"1,0";"75,0";"3,4";"";"0,0"
"01/02/2020";"0100";"24,0";"24,0";"23,6";"96,0";"96,0";"95,0";"23,2";"23,2";"23,0";"991,8";"991,8";"991,7";"0,6";"26,0";"2,8";"";"0,0"
"01/02/2020";"0200";"23,8";"24,0";"23,8";"97,0";"97,0";"96,0";"23,3";"23,3";"23,2";"991,4";"991,8";"991,3";"1,0";"355,0";"1,9";"";"0,0"
"01/02/2020";"0300";"24,0";"24,0";"23,8";"96,0";"97,0";"96,0";"23,4";"23,4";"23,3";"991,7";"991,7";"991,4";"0,9";"33,0";"3,2";"";"0,0"
"01/02/2020";"0400";"24,1";"24,2";"24,0";"96,0";"96,0";"95,0";"23,3";"23,4";"23,3";"991,8";"991,8";"991,7";"1,0";"4,0";"3,4";"";"0,0"
"01/02/2020";"0500";"24,0";"24,1";"24,0";"96,0";"96,0";"95,0";"23,4";"23,4";"23,3";"991,3";"991,8";"991,3";"0,8";"43,0";"3,4";"";"0,0"
"01/02/2020";"0600";"24,0";"24,1";"24,0";"96,0";"96,0";"96,0";"23,3";"23,4";"23,3";"991,0";"991,3";"990,9";"0,8";"81,0";"3,2";"";"0,0"
"01/02/2020";"0700";"23,7";"24,0";"23,7";"97,0";"97,0";"95,0";"23,2";"23,3";"23,2";"990,9";"991,0";"990,8";"0,8";"109,0";"2,4";"";"0,0"
"01/02/2020";"0800";"23,8";"23,9";"23,7";"96,0";"97,0";"96,0";"23,2";"23,3";"23,2";"991,2";"991,2";"990,8";"0,4";"19,0";"2,0";"";"0,0"
"01/02/2020";"0900";"23,7";"23,8";"23,7";"95,0";"97,0";"95,0";"23,0";"23,3";"23,0";"992,0";"992,0";"991,2";"0,6";"45,0";"2,8";"";"0,0"
"01/02/2020";"1000";"23,5";"23,7";"23,5";"96,0";"96,0";"95,0";"22,9";"23,0";"22,8";"992,3";"992,3";"992,0";"0,7";"42,0";"2,9";"3,60";"0,8"
"01/02/2020";"1100";"23,5";"23,5";"23,3";"97,0";"97,0";"96,0";"23,0";"23,0";"22,7";"992,7";"992,7";"992,3";"0,5";"36,0";"2,9";"81,20";"1,2"
"01/02/2020";"1200";"24,4";"24,5";"23,5";"94,0";"97,0";"94,0";"23,3";"23,7";"23,0";"993,4";"993,4";"992,7";"0,9";"35,0";"2,2";"354,10";"0,0"
"01/02/2020";"1300";"26,3";"26,4";"24,4";"88,0";"95,0";"88,0";"24,1";"24,4";"23,2";"993,3";"993,5";"993,3";"1,3";"67,0";"3,6";"885,80";"0,0"
