"Data";"Hora (UTC)";"Temp. [Hora] (C)";"Umi. (%)";"Pressao (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Nebulosidade (Decimos)";"Insolacao (h)";"Temp. Max. [Diaria] (h)";"Temp. Min. [Diaria] (h)";"Chuva [Diaria] (mm)"
"01/02/2022";"0000";"27,3";"85,0";"978,8";"0,0";"0,0";"6,3";"1,60";"30,4";"";""
"01/02/2022";"1200";"25,7";"89,0";"980,4";"0,8";"180,0";"8,0";"";"";"23,9";"0,0"
"01/02/2022";"1800";"24,3";"90,0";"977,3";"0,4";"140,0";"8,0";"";"";"";""
"02/02/2022";"0000";"25,3";"88,0";"978,0";"0,0";"0,0";"8,0";"6,50";"33,4";"";""
"02/02/2022";"1200";"28,1";"73,0";"980,0";"0,4";"140,0";"3,8";"";"";"21,5";"14,4"
"02/02/2022";"1800";"30,7";"66,0";"975,9";"1,2";"230,0";"7,0";"";"";"";""
"03/02/2022";"0000";"23,7";"91,0";"978,1";"0,8";"50,0";"6,3";"3,20";"30,7";"";""
"03/02/2022";"1200";"25,3";"87,0";"980,4";"0,4";"140,0";"10,0";"";"";"22,0";"11,2"
"03/02/2022";"1800";"29,5";"66,0";"977,7";"1,6";"180,0";"6,3";"";"";"";""
"04/02/2022";"0000";"25,5";"91,0";"976,5";"0,0";"0,0";"0,0";"3,20";"34,2";"";""
"04/02/2022";"1200";"25,7";"89,0";"979,9";"1,2";"140,0";"10,0";"";"";"22,7";"4,2"
"04/02/2022";"1800";"32,6";"62,0";"976,2";"1,2";"180,0";"7,0";"";"";"";""
"05/02/2022";"0000";"28,4";"81,0";"976,9";"0,0";"0,0";"0,0";"3,20";"31,6";"";""
"05/02/2022";"1200";"28,1";"80,0";"980,7";"0,8";"50,0";"7,0";"";"";"24,7";"0,0"
"05/02/2022";"1800";"27,3";"84,0";"976,1";"1,2";"360,0";"10,0";"";"";"";""
"06/02/2022";"0000";"26,1";"88,0";"977,7";"0,0";"0,0";"6,3";"0,60";"30,0";"";""
"06/02/2022";"1200";"22,5";"98,0";"981,2";"0,0";"0,0";"10,0";"";"";"22,3";"65,4"
"06/02/2022";"1800";"28,1";"71,0";"976,6";"0,8";"180,0";"7,5";"";"";"";""
"07/02/2022";"0000";"25,5";"88,0";"977,9";"0,0";"0,0";"6,3";"6,80";"33,1";"";""
"07/02/2022";"1200";"26,9";"83,0";"980,2";"0,0";"0,0";"6,3";"";"";"21,6";"14,8"
"07/02/2022";"1800";"31,3";"64,0";"976,1";"0,8";"270,0";"7,5";"";"";"";""
"08/02/2022";"0000";"26,7";"85,0";"977,3";"0,0";"0,0";"0,0";"6,00";"34,2";"";""
"08/02/2022";"1200";"27,4";"83,0";"978,6";"0,3";"270,0";"7,5";"";"";"23,7";"0,0"
"08/02/2022";"1800";"32,5";"53,0";"975,4";"0,6";"270,0";"10,0";"";"";"";""
"09/02/2022";"0000";"27,7";"76,0";"976,5";"0,0";"0,0";"7,0";"6,30";"34,8";"";""
