"Data";"Hora (UTC)";"Temp. [Hora] (C)";"Umi. (%)";"Pressao (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Nebulosidade (Decimos)";"Insolacao (h)";"Temp. Max. [Diaria] (h)";"Temp. Min. [Diaria] (h)";"Chuva [Diaria] (mm)"
"01/02/2023";"0000";"26,5";"86,0";"";"";"";"7,5";"4,60";"33,0";"";""
"01/02/2023";"1200";"27,1";"83,0";"";"";"";"5,0";"";"";"24,2";"0,0"
"01/02/2023";"1800";"31,3";"59,0";"";"";"";"8,8";"";"";"";""
"02/02/2023";"0000";"27,5";"80,0";"";"";"";"3,8";"8,50";"35,7";"";""
"02/02/2023";"1200";"27,4";"75,0";"";"";"";"5,0";"";"";"24,0";"0,0"
"02/02/2023";"1800";"34,4";"49,0";"";"";"";"8,8";"";"";"";""
"03/02/2023";"0000";"26,5";"82,0";"";"";"";"7,5";"6,30";"35,9";"";""
"03/02/2023";"1200";"26,5";"81,0";"";"";"";"10,0";"";"";"23,8";"5,7"
"03/02/2023";"1800";"31,0";"60,0";"";"";"";"5,0";"";"";"";""
"04/02/2023";"0000";"26,5";"82,0";"";"";"";"2,5";"2,80";"33,1";"";""
"04/02/2023";"1200";"25,1";"85,0";"";"";"";"8,8";"";"";"23,2";"1,2"
"04/02/2023";"1800";"30,2";"84,0";"";"";"";"7,5";"";"";"";""
"05/02/2023";"0000";"27,2";"74,0";"";"";"";"7,5";"7,80";"34,9";"";""
"05/02/2023";"1200";"27,1";"70,0";"";"";"";"3,8";"";"";"25,1";"0,8"
"05/02/2023";"1800";"34,0";"50,0";"";"";"";"8,8";"";"";"";""
"06/02/2023";"0000";"28,1";"74,0";"";"";"";"5,0";"8,00";"34,1";"";""
"06/02/2023";"1200";"26,5";"78,0";"";"";"";"7,5";"";"";"24,8";"6,0"
"06/02/2023";"1800";"32,2";"53,0";"";"";"";"3,8";"";"";"";""
"07/02/2023";"0000";"26,5";"71,0";"";"";"";"10,0";"4,10";"34,9";"";""
"07/02/2023";"1200";"25,2";"84,0";"";"";"";"";"";"";"22,9";"4,2"
"07/02/2023";"1800";"31,2";"59,0";"";"";"";"7,5";"";"";"";""
"08/02/2023";"0000";"28,7";"71,0";"";"";"";"1,3";"6,60";"35,9";"";""
"08/02/2023";"1200";"26,5";"78,0";"";"";"";"7,5";"";"";"24,9";"0,0"
"08/02/2023";"1800";"34,4";"49,0";"";"";"";"3,8";"";"";"";""
"09/02/2023";"0000";"26,9";"81,0";"";"";"";"8,8";"5,70";"35,5";"";""
"09/02/2023";"1200";"27,4";"74,0";"";"";"";"10,0";"";"";"24,8";"0,0"
"09/02/2023";"1800";"33,4";"54,0";"";"";"";"5,0";"";"";"";""
"10/02/2023";"0000";"25,5";"91,0";"";"";"";"10,0";"0,00";"31,0";"";""
"10/02/2023";"1200";"24,7";"77,0";"";"";"";"8,8";"";"";"24,4";"2,6"
"10/02/2023";"1800";"29,0";"73,0";"";"";"";"8,8";"";"";"";""
"11/02/2023";"0000";"26,5";"82,0";"";"";"";"0,0";"5,30";"34,9";"";""
"11/02/2023";"1200";"26,6";"85,0";"";"";"";"5,0";"";"";"23,8";"0,0"
"11/02/2023";"1800";"27,8";"69,0";"";"";"";"10,0";"";"";"";""
"12/02/2023";"0000";"24,7";"";"";"";"";"7,5";"4,60";"34,9";"";""
"12/02/2023";"1200";"27,2";"81,0";"";"";"";"6,3";"";"";"24,2";"9,7"
"12/02/2023";"1800";"29,4";"70,0";"";"";"";"10,0";"";"";"";""
"13/02/2023";"0000";"27,4";"80,0";"";"";"";"6,3";"5,00";"35,7";"";""
"13/02/2023";"1200";"24,5";"87,0";"";"";"";"10,0";"";"";"23,7";"0,6"
"13/02/2023";"1800";"32,8";"57,0";"";"";"";"6,3";"";"";"";""
"14/02/2023";"0000";"23,9";"89,0";"";"";"";"10,0";"8,20";"36,9";"";""
"14/02/2023";"1200";"26,2";"84,0";"";"";"";"8,8";"";"";"23,9";"9,0"
"14/02/2023";"1800";"35,2";"50,0";"";"";"";"3,8";"";"";"";""
"15/02/2023";"0000";"29,6";"68,0";"";"";"";"2,5";"0,60";"30,1";"";""
"15/02/2023";"1200";"28,2";"77,0";"";"";"";"10,0";"";"";"23,2";"0,0"
"15/02/2023";"1800";"23,5";"93,0";"";"";"";"";"";"";"";""
"16/02/2023";"0000";"25,1";"91,0";"";"";"";"8,8";"5,80";"34,1";"";""
"16/02/2023";"1200";"26,5";"78,0";"";"";"";"7,5";"";"";"23,8";"38,7"
"16/02/2023";"1800";"32,0";"62,0";"";"";"";"3,8";"";"";"";""
"17/02/2023";"0000";"27,1";"74,0";"";"";"";"5,0";"0,40";"30,1";"";""
"17/02/2023";"1200";"27,2";"76,0";"";"";"";"7,5";"";"";"23,3";"0,0"
"17/02/2023";"1800";"25,3";"83,0";"";"";"";"";"";"";"";""
"18/02/2023";"0000";"23,5";"90,0";"";"";"";"7,5";"0,70";"34,1";"";""
"18/02/2023";"1200";"23,8";"91,0";"";"";"";"10,0";"";"";"22,8";"6,1"
"18/02/2023";"1800";"27,8";"71,0";"";"";"";"8,8";"";"";"";""
"19/02/2023";"0000";"25,7";"79,0";"";"";"";"6,3";"7,40";"30,1";"";""
"19/02/2023";"1200";"22,5";"69,0";"";"";"";"10,0";"";"";"21,4";"0,2"
"19/02/2023";"1800";"28,0";"62,0";"";"";"";"3,8";"";"";"";""
"20/02/2023";"0000";"27,4";"70,0";"";"";"";"5,0";"1,30";"31,3";"";""
"20/02/2023";"1200";"25,2";"40,0";"";"";"";"";"";"";"23,1";"3,1"
"20/02/2023";"1800";"30,0";"65,0";"";"";"";"7,5";"";"";"";""
"21/02/2023";"0000";"24,9";"88,0";"";"";"";"7,5";"4,80";"32,9";"";""
"21/02/2023";"1200";"27,2";"76,0";"";"";"";"5,0";"";"";"21,8";"10,1"
"21/02/2023";"1800";"31,2";"52,0";"";"";"";"8,8";"";"";"";""
"22/02/2023";"0000";"27,8";"66,0";"";"";"";"7,5";"4,50";"33,9";"";""
"22/02/2023";"1200";"26,5";"74,0";"";"";"";"5,0";"";"";"23,2";"0,0"
"22/02/2023";"1800";"33,0";"56,0";"";"";"";"8,8";"";"";"";""
"23/02/2023";"0000";"25,3";"95,0";"";"";"";"10,0";"5,60";"34,3";"";""
"23/02/2023";"1200";"26,4";"79,0";"";"";"";"6,3";"";"";"23,9";"30,3"
"23/02/2023";"1800";"32,0";"54,0";"";"";"";"2,5";"";"";"";""
"24/02/2023";"0000";"27,4";"77,0";"";"";"";"3,8";"7,30";"35,9";"";""
"24/02/2023";"1200";"27,1";"81,0";"";"";"";"5,0";"";"";"23,2";"0,0"
"24/02/2023";"1800";"34,3";"50,0";"";"";"";"8,8";"";"";"";""
"25/02/2023";"0000";"25,9";"87,0";"";"";"";"10,0";"8,30";"35,1";"";""
"25/02/2023";"1200";"27,8";"76,0";"";"";"";"1,3";"";"";"23,6";"22,0"
"25/02/2023";"1800";"32,8";"59,0";"";"";"";"7,5";"";"";"";""
"26/02/2023";"0000";"24,9";"93,0";"";"";"";"10,0";"4,70";"35,5";"";""
"26/02/2023";"1200";"26,3";"82,0";"";"";"";"7,5";"";"";"23,8";"22,6"
"26/02/2023";"1800";"33,6";"55,0";"";"";"";"6,3";"";"";"";""
"27/02/2023";"0000";"28,5";"76,0";"";"";"";"2,5";"3,10";"36,9";"";""
"27/02/2023";"1200";"29,2";"72,0";"";"";"";"3,8";"";"";"24,1";"0,0"
