"Data";"Hora (UTC)";"Temp. [Hora] (C)";"Umi. (%)";"Pressao (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Nebulosidade (Decimos)";"Insolacao (h)";"Temp. Max. [Diaria] (h)";"Temp. Min. [Diaria] (h)";"Chuva [Diaria] (mm)"
"01/08/2020";"0000";"29,5";"50,0";"998,7";"";"";"5,0";"8,50";"37,0";"";""
"01/08/2020";"1200";"22,1";"74,0";"999,9";"";"";"1,3";"";"";"17,7";"0,0"
"01/08/2020";"1800";"35,9";"24,0";"997,6";"";"";"6,3";"";"";"";""
"02/08/2020";"0000";"28,7";"45,0";"998,7";"";"";"6,3";"9,20";"36,3";"";""
"02/08/2020";"1200";"23,3";"55,0";"999,6";"";"";"0,0";"";"";"18,4";"0,0"
"02/08/2020";"1800";"34,4";"25,0";"998,0";"";"";"0,0";"";"";"";""
"03/08/2020";"0000";"29,6";"36,0";"998,6";"";"";"0,0";"9,40";"36,1";"";""
"03/08/2020";"1200";"24,3";"51,0";"1001,6";"";"";"0,0";"";"";"16,0";"0,0"
"03/08/2020";"1800";"35,2";"28,0";"999,2";"";"";"0,0";"";"";"";""
"04/08/2020";"0000";"26,5";"46,0";"998,5";"";"";"0,0";"9,50";"36,3";"";""
"04/08/2020";"1200";"25,1";"47,0";"1000,2";"";"";"0,0";"";"";"16,8";"0,0"
"04/08/2020";"1800";"35,3";"31,0";"998,5";"";"";"0,0";"";"";"";""
"05/08/2020";"0000";"25,3";"57,0";"998,8";"";"";"0,0";"9,30";"36,2";"";""
"05/08/2020";"1200";"26,4";"48,0";"1000,5";"";"";"0,0";"";"";"16,8";"0,0"
"05/08/2020";"1800";"35,2";"24,0";"997,7";"";"";"0,0";"";"";"";""
"06/08/2020";"0000";"26,1";"44,0";"997,1";"";"";"0,0";"9,50";"35,2";"";""
"06/08/2020";"1200";"25,3";"46,0";"1000,3";"";"";"0,0";"";"";"15,9";"0,0"
"06/08/2020";"1800";"35,0";"26,0";"997,7";"";"";"0,0";"";"";"";""
"07/08/2020";"0000";"26,3";"42,0";"997,9";"";"";"0,0";"9,60";"36,2";"";""
"07/08/2020";"1200";"24,4";"52,0";"1000,8";"";"";"0,0";"";"";"15,7";"0,0"
"07/08/2020";"1800";"34,3";"23,0";"998,0";"";"";"0,0";"";"";"";""
"08/08/2020";"0000";"25,2";"48,0";"998,3";"";"";"0,0";"";"";"";""
"08/08/2020";"1200";"27,3";"42,0";"1001,3";"";"";"0,0";"";"";"16,1";"0,0"
"08/08/2020";"1800";"";"";"";"";"";"";"";"";"";""
"09/08/2020";"0000";"";"";"";"";"";"";"9,70";"16,0";"";""
"09/08/2020";"1200";"27,3";"41,0";"1000,0";"";"";"0,0";"";"";"16,0";"0,0"
"09/08/2020";"1800";"34,0";"21,0";"997,2";"";"";"0,0";"";"";"";""
"10/08/2020";"0000";"";"45,0";"995,9";"";"";"0,0";"9,60";"37,2";"";""
"10/08/2020";"1200";"24,1";"49,0";"994,0";"";"";"0,0";"";"";"17,7";"0,0"
"10/08/2020";"1800";"35,7";"25,0";"993,8";"";"";"0,0";"";"";"";""
"11/08/2020";"0000";"27,4";"54,0";"992,3";"";"";"0,0";"9,20";"38,4";"";""
