"Data";"Hora (UTC)";"Temp. [Hora] (C)";"Umi. (%)";"Pressao (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Nebulosidade (Decimos)";"Insolacao (h)";"Temp. Max. [Diaria] (h)";"Temp. Min. [Diaria] (h)";"Chuva [Diaria] (mm)"
"01/02/2021";"0000";"24,8";"92,0";"";"";"";"";"";"35,4";"";""
"01/02/2021";"1200";"27,2";"86,0";"";"0,0";"0,0";"6,3";"";"";"22,3";"4,8"
"01/02/2021";"1800";"34,0";"68,0";"";"0,0";"0,0";"7,5";"";"";"";""
"02/02/2021";"0000";"26,4";"89,0";"";"";"";"";"";"35,6";"";""
"02/02/2021";"1200";"27,2";"85,0";"";"0,0";"0,0";"3,8";"";"";"22,3";"0,0"
"02/02/2021";"1800";"34,2";"67,0";"";"0,0";"0,0";"5,0";"";"";"";""
"03/02/2021";"0000";"25,6";"90,0";"";"";"";"";"";"35,2";"";""
"03/02/2021";"1200";"26,6";"87,0";"";"0,0";"0,0";"7,5";"";"";"23,8";"2,2"
"03/02/2021";"1800";"33,0";"71,0";"";"0,0";"0,0";"10,0";"";"";"";""
"04/02/2021";"0000";"26,6";"86,0";"";"";"";"";"";"34,4";"";""
"04/02/2021";"1200";"26,8";"89,0";"";"0,0";"0,0";"7,5";"";"";"22,6";"0,0"
"04/02/2021";"1800";"32,2";"72,0";"";"0,0";"0,0";"10,0";"";"";"";""
"05/02/2021";"0000";"26,6";"86,0";"";"";"";"";"";"31,2";"";""
"05/02/2021";"1200";"25,0";"90,0";"";"";"";"10,0";"";"";"24,3";"0,0"
"05/02/2021";"1800";"30,2";"79,0";"";"0,0";"0,0";"10,0";"";"";"";""
"06/02/2021";"0000";"24,4";"95,0";"";"";"";"";"";"32,5";"";""
"06/02/2021";"1200";"23,8";"97,0";"";"";"";"10,0";"";"";"22,7";"37,0"
"06/02/2021";"1800";"30,0";"77,0";"";"0,0";"0,0";"7,5";"";"";"";""
"07/02/2021";"0000";"27,4";"86,0";"";"";"";"";"";"33,2";"";""
"07/02/2021";"1200";"25,8";"86,0";"";"0,0";"0,0";"0,0";"";"";"21,5";"0,0"
"07/02/2021";"1800";"32,0";"62,0";"";"0,0";"0,0";"5,0";"";"";"";""
"08/02/2021";"0000";"25,2";"85,0";"";"0,0";"0,0";"0,0";"";"34,5";"";""
"08/02/2021";"1200";"24,8";"91,0";"";"0,0";"0,0";"7,5";"";"";"20,7";"0,0"
"08/02/2021";"1800";"33,2";"55,0";"";"0,0";"0,0";"7,5";"";"";"";""
"09/02/2021";"0000";"24,6";"84,0";"";"0,0";"0,0";"0,0";"";"36,2";"";""
"09/02/2021";"1200";"25,2";"85,0";"";"0,0";"0,0";"3,8";"";"";"19,3";"0,0"
"09/02/2021";"1800";"34,2";"55,0";"";"0,0";"0,0";"5,0";"";"";"";""
"10/02/2021";"0000";"25,2";"84,0";"";"0,0";"0,0";"0,0";"";"34,6";"";""
"10/02/2021";"1200";"26,6";"87,0";"";"0,0";"0,0";"6,3";"";"";"21,2";"0,0"
"10/02/2021";"1800";"33,8";"63,0";"";"0,0";"0,0";"7,5";"";"";"";""
"11/02/2021";"0000";"26,4";"86,0";"";"";"";"";"";"34,5";"";""
"11/02/2021";"1200";"24,8";"90,0";"";"0,0";"0,0";"7,5";"";"";"24,1";"0,0"
"11/02/2021";"1800";"33,4";"71,0";"";"0,0";"0,0";"7,5";"";"";"";""
"12/02/2021";"0000";"27,4";"84,0";"";"";"";"";"";"30,6";"";""
"12/02/2021";"1200";"21,8";"98,0";"";"";"";"";"";"";"21,3";"53,6"
"12/02/2021";"1800";"28,2";"82,0";"";"";"";"10,0";"";"";"";""
"13/02/2021";"0000";"25,4";"92,0";"";"";"";"7,5";"";"31,7";"";""
"13/02/2021";"1200";"24,0";"95,0";"";"";"";"10,0";"";"";"22,0";"19,7"
"13/02/2021";"1800";"27,8";"88,0";"";"0,0";"0,0";"7,5";"";"";"";""
"14/02/2021";"0000";"25,8";"91,0";"";"";"";"";"";"27,3";"";""
