"Data";"Hora (UTC)";"Temp. [Hora] (C)";"Umi. (%)";"Pressao (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Nebulosidade (Decimos)";"Insolacao (h)";"Temp. Max. [Diaria] (h)";"Temp. Min. [Diaria] (h)";"Chuva [Diaria] (mm)"
"01/08/2022";"0000";"21,9";"81,0";"";"";"";"";"";"36,9";"";""
"01/08/2022";"1200";"20,6";"86,0";"";"";"";"";"";"";"15,4";"0,0"
"01/08/2022";"1800";"35,6";"58,0";"";"0,0";"0,0";"0,0";"";"";"";""
"02/08/2022";"0000";"23,6";"78,0";"";"0,0";"0,0";"0,0";"";"37,4";"";""
"02/08/2022";"1200";"22,4";"76,0";"";"";"";"";"";"";"16,4";"0,0"
"02/08/2022";"1800";"36,2";"52,0";"";"0,0";"0,0";"3,8";"";"";"";""
"03/08/2022";"0000";"22,4";"81,0";"";"0,0";"0,0";"0,0";"";"37,3";"";""
"03/08/2022";"1200";"";"80,0";"";"";"";"";"";"";"16,0";""
"03/08/2022";"1800";"36,4";"59,0";"";"0,0";"";"2,5";"";"";"";""
"04/08/2022";"0000";"24,6";"76,0";"";"0,0";"0,0";"0,0";"";"36,2";"";""
"04/08/2022";"1200";"24,7";"76,0";"";"";"";"";"";"";"20,1";"0,0"
"04/08/2022";"1800";"35,4";"63,0";"";"0,0";"0,0";"5,0";"";"";"";""
"05/08/2022";"0000";"24,0";"77,0";"";"0,0";"0,0";"0,0";"";"37,7";"";""
"05/08/2022";"1200";"22,6";"81,0";"";"";"";"6,3";"";"";"18,2";"0,0"
"05/08/2022";"1800";"36,8";"54,0";"";"0,0";"0,0";"6,3";"";"";"";""
"06/08/2022";"0000";"23,8";"80,0";"";"0,0";"0,0";"0,0";"";"36,4";"";""
"06/08/2022";"1200";"21,2";"91,0";"";"0,0";"0,0";"3,8";"";"";"16,4";"0,0"
"06/08/2022";"1800";"34,4";"62,0";"";"";"";"7,5";"";"";"";""
"07/08/2022";"0000";"25,3";"78,0";"";"0,0";"0,0";"0,0";"";"36,8";"";""
"07/08/2022";"1200";"24,2";"81,0";"";"0,0";"0,0";"0,0";"";"";"20,4";"0,0"
"07/08/2022";"1800";"35,4";"64,0";"";"0,0";"0,0";"6,3";"";"";"";""
"08/08/2022";"0000";"26,8";"80,0";"";"";"";"5,0";"";"34,2";"";""
"08/08/2022";"1200";"24,0";"95,0";"";"";"";"7,5";"";"";"22,3";"8,2"
"08/08/2022";"1800";"32,8";"73,0";"";"";"";"7,5";"";"";"";""
"09/08/2022";"0000";"26,0";"90,0";"";"";"";"10,0";"";"26,9";"";""
"09/08/2022";"1200";"22,8";"91,0";"";"";"";"10,0";"";"";"17,0";"0,0"
"09/08/2022";"1800";"26,4";"84,0";"";"";"";"";"";"";"";""
"10/08/2022";"0000";"17,4";"92,0";"";"";"";"";"";"24,7";"";""
"10/08/2022";"1200";"17,4";"86,0";"";"";"";"6,3";"";"";"15,4";"3,5"
"10/08/2022";"1800";"23,4";"72,0";"";"";"";"6,3";"";"";"";""
"11/08/2022";"0000";"18,2";"78,0";"";"";"";"5,0";"";"24,7";"";""
"11/08/2022";"1200";"15,0";"87,0";"";"";"";"";"";"";"9,8";"0,0"
"11/08/2022";"1800";"28,2";"64,0";"";"0,0";"0,0";"0,0";"";"";"";""
"12/08/2022";"0000";"17,4";"84,0";"";"";"";"";"";"34,8";"";""
"12/08/2022";"1200";"17,4";"92,0";"";"";"";"";"";"";"10,5";"0,0"
"12/08/2022";"1800";"33,6";"64,0";"";"0,0";"0,0";"0,0";"";"";"";""
"13/08/2022";"0000";"23,0";"78,0";"";"0,0";"0,0";"0,0";"";"37,3";"";""
"13/08/2022";"1200";"22,4";"79,0";"";"";"";"";"";"";"16,6";"0,0"
"13/08/2022";"1800";"35,6";"60,0";"";"0,0";"0,0";"0,0";"";"";"";""
"14/08/2022";"0000";"23,0";"81,0";"";"0,0";"0,0";"0,0";"";"37,5";"";""
"14/08/2022";"1200";"25,0";"76,0";"";"0,0";"0,0";"0,0";"";"";"16,8";"0,0"
"14/08/2022";"1800";"33,4";"63,0";"";"0,0";"0,0";"0,0";"";"";"";""
"15/08/2022";"0000";"24,6";"74,0";"";"0,0";"0,0";"0,0";"";"36,3";"";""
"15/08/2022";"1200";"27,2";"81,0";"";"";"";"5,0";"";"";"21,3";"0,0"
"15/08/2022";"1800";"35,2";"60,0";"";"0,0";"0,0";"6,3";"";"";"";""
"16/08/2022";"0000";"27,4";"77,0";"";"";"";"";"";"34,5";"";""
"16/08/2022";"1200";"27,1";"82,0";"";"";"";"";"";"";"22,3";"0,0"
"16/08/2022";"1800";"34,2";"68,0";"";"";"";"5,0";"";"";"";""
"17/08/2022";"0000";"24,6";"93,0";"";"";"";"";"";"35,5";"";""
"17/08/2022";"1200";"25,6";"87,0";"";"";"";"";"";"";"21,6";"29,4"
"17/08/2022";"1800";"34,6";"66,0";"";"";"";"7,5";"";"";"";""
"18/08/2022";"0000";"26,4";"83,0";"";"";"";"";"";"36,4";"";""
"18/08/2022";"1200";"25,7";"87,0";"";"";"";"6,3";"";"";"21,3";"0,0"
"18/08/2022";"1800";"36,3";"62,0";"";"0,0";"0,0";"5,0";"";"";"";""
"19/08/2022";"0000";"21,4";"95,0";"";"0,0";"0,0";"6,3";"";"22,4";"";""
"19/08/2022";"1200";"17,2";"93,0";"";"";"";"10,0";"";"";"16,2";"18,8"
"19/08/2022";"1800";"20,4";"83,0";"";"0,0";"0,0";"6,3";"";"";"";""
"20/08/2022";"0000";"17,4";"74,0";"";"0,0";"0,0";"0,0";"";"36,4";"";""
"20/08/2022";"1200";"13,7";"80,0";"";"";"";"10,0";"";"";"11,2";"0,0"
"20/08/2022";"1800";"25,4";"67,0";"";"";"";"5,0";"";"";"";""
"21/08/2022";"0000";"20,9";"72,0";"";"";"";"";"";"33,6";"";""
"21/08/2022";"1200";"17,8";"86,0";"";"";"";"3,8";"";"";"13,9";"0,0"
"21/08/2022";"1800";"32,6";"64,0";"";"";"";"";"";"";"";""
"22/08/2022";"0000";"24,8";"80,0";"";"";"";"";"";"35,2";"";""
"22/08/2022";"1200";"23,4";"82,0";"";"";"";"5,0";"";"";"18,4";"0,0"
"22/08/2022";"1800";"34,2";"60,0";"";"0,0";"0,0";"5,0";"";"";"";""
"23/08/2022";"0000";"23,9";"74,0";"";"0,0";"0,0";"0,0";"";"35,7";"";""
"23/08/2022";"1200";"22,5";"89,0";"";"";"";"3,8";"";"";"16,7";"0,0"
"23/08/2022";"1800";"34,6";"63,0";"";"0,0";"0,0";"2,5";"";"";"";""
"24/08/2022";"0000";"22,9";"78,0";"";"0,0";"0,0";"0,0";"";"35,9";"";""
"24/08/2022";"1200";"23,1";"76,0";"";"";"";"";"";"";"15,9";"0,0"
"24/08/2022";"1800";"35,2";"57,0";"";"0,0";"0,0";"5,0";"";"";"";""
