"Data";"Hora (UTC)";"Temp. [Hora] (C)";"Umi. (%)";"Pressao (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Nebulosidade (Decimos)";"Insolacao (h)";"Temp. Max. [Diaria] (h)";"Temp. Min. [Diaria] (h)";"Chuva [Diaria] (mm)"
"01/08/2023";"0000";"24,6";"97,0";"";"0,0";"0,0";"7,5";"";"35,0";"";""
"01/08/2023";"1200";"26,0";"90,0";"";"0,0";"0,0";"6,3";"";"";"24,0";"26,8"
"01/08/2023";"1800";"";"";"";"";"";"";"";"";"";""
"02/08/2023";"0000";"27,4";"83,0";"";"0,0";"0,0";"6,3";"";"32,8";"";""
"02/08/2023";"1200";"24,4";"94,0";"";"0,0";"0,0";"7,5";"";"";"23,8";"2,0"
"02/08/2023";"1800";"32,4";"66,0";"";"2,1";"360,0";"5,0";"";"";"";""
"03/08/2023";"0000";"25,4";"94,0";"";"0,0";"0,0";"6,3";"";"34,8";"";""
"03/08/2023";"1200";"25,2";"95,0";"";"0,0";"0,0";"8,8";"";"";"24,2";"0,0"
"03/08/2023";"1800";"33,0";"60,0";"";"2,1";"50,0";"7,5";"";"";"";""
"04/08/2023";"0000";"24,4";"94,0";"";"0,0";"0,0";"8,8";"";"35,6";"";""
"04/08/2023";"1200";"25,2";"95,0";"";"0,0";"0,0";"10,0";"";"";"24,2";"14,0"
"04/08/2023";"1800";"32,6";"64,0";"";"2,1";"50,0";"6,3";"";"";"";""
"05/08/2023";"0000";"29,0";"85,0";"";"0,0";"0,0";"6,3";"";"35,4";"";""
"05/08/2023";"1200";"25,2";"95,0";"";"0,0";"0,0";"7,5";"";"";"24,8";"4,0"
"05/08/2023";"1800";"34,4";"59,0";"";"2,1";"50,0";"7,5";"";"";"";""
"06/08/2023";"0000";"27,4";"86,0";"";"0,0";"0,0";"7,5";"";"36,2";"";""
"06/08/2023";"1200";"25,4";"97,0";"";"0,0";"0,0";"6,3";"";"";"24,2";"5,0"
"06/08/2023";"1800";"33,6";"57,0";"";"0,0";"0,0";"5,0";"";"";"";""
