"Data";"Hora (UTC)";"Temp. [Hora] (C)";"Umi. (%)";"Pressao (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Nebulosidade (Decimos)";"Insolacao (h)";"Temp. Max. [Diaria] (h)";"Temp. Min. [Diaria] (h)";"Chuva [Diaria] (mm)"
"01/08/2020";"0000";"";"";"";"0,7";"50,0";"";"9,50";"33,5";"";""
"01/08/2020";"1200";"27,7";"83,0";"1008,5";"2,8";"90,0";"2,0";"";"";"23,4";"0,0"
"01/08/2020";"1800";"32,7";"60,0";"1006,0";"0,3";"90,0";"5,0";"";"";"";""
"02/08/2020";"0000";"";"";"";"0,0";"0,0";"";"7,80";"31,9";"";""
"02/08/2020";"1200";"28,7";"81,0";"1009,6";"0,1";"90,0";"5,0";"";"";"24,0";"0,0"
"02/08/2020";"1800";"29,9";"80,0";"1007,3";"2,5";"360,0";"6,0";"";"";"";""
"03/08/2020";"0000";"";"";"";"0,0";"0,0";"";"7,10";"32,9";"";""
"03/08/2020";"1200";"28,3";"83,0";"1010,4";"2,6";"140,0";"7,0";"";"";"24,2";"0,0"
"03/08/2020";"1800";"30,7";"77,0";"1007,6";"3,3";"360,0";"8,0";"";"";"";""
"04/08/2020";"0000";"";"";"";"0,0";"0,0";"";"6,70";"32,3";"";""
"04/08/2020";"1200";"28,0";"83,0";"1009,8";"0,2";"140,0";"6,0";"";"";"24,0";"0,0"
"04/08/2020";"1800";"31,0";"73,0";"1007,3";"0,1";"90,0";"6,0";"";"";"";""
"05/08/2020";"0000";"";"";"";"0,0";"0,0";"";"8,80";"32,7";"";""
"05/08/2020";"1200";"27,3";"82,0";"1009,2";"1,6";"140,0";"7,0";"";"";"23,4";"0,0"
"05/08/2020";"1800";"30,3";"76,0";"1007,1";"2,0";"360,0";"5,0";"";"";"";""
"06/08/2020";"0000";"";"";"";"0,0";"0,0";"";"7,80";"32,5";"";""
"06/08/2020";"1200";"27,7";"84,0";"1008,1";"0,1";"90,0";"7,0";"";"";"22,8";"0,0"
"06/08/2020";"1800";"31,7";"68,0";"1006,2";"0,0";"0,0";"5,0";"";"";"";""
"07/08/2020";"0000";"";"";"";"0,0";"0,0";"";"8,40";"32,7";"";""
"07/08/2020";"1200";"27,3";"88,0";"1009,0";"0,3";"90,0";"7,0";"";"";"23,8";"0,0"
