"Data";"Hora (UTC)";"Temp. [Hora] (C)";"Umi. (%)";"Pressao (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Nebulosidade (Decimos)";"Insolacao (h)";"Temp. Max. [Diaria] (h)";"Temp. Min. [Diaria] (h)";"Chuva [Diaria] (mm)"
"01/02/2021";"0000";"";"";"";"";"";"";"7,90";"32,5";"";""
"01/02/2021";"1200";"29,0";"81,0";"997,0";"";"0,0";"6,0";"";"";"";"0,0"
"01/02/2021";"1800";"";"";"";"";"";"";"";"";"";""
"02/02/2021";"0000";"26,5";"85,0";"996,9";"";"360,0";"8,0";"6,70";"34,6";"";""
"02/02/2021";"1200";"29,1";"81,0";"996,8";"";"0,0";"6,0";"";"";"";"0,0"
"02/02/2021";"1800";"";"";"";"";"";"";"";"";"";""
"03/02/2021";"0000";"29,4";"82,0";"994,8";"";"90,0";"6,0";"7,60";"35,3";"";""
"03/02/2021";"1200";"29,3";"80,0";"999,3";"";"90,0";"5,0";"";"";"";"0,0"
"03/02/2021";"1800";"";"";"";"";"";"";"";"";"";""
"04/02/2021";"0000";"29,6";"80,0";"996,9";"";"0,0";"0,0";"5,10";"34,8";"";""
"04/02/2021";"1200";"29,0";"81,0";"998,6";"";"90,0";"8,0";"";"";"";"0,0"
"04/02/2021";"1800";"";"";"";"";"";"";"";"";"";""
"05/02/2021";"0000";"29,5";"79,0";"997,4";"";"0,0";"7,0";"5,70";"34,0";"";""
"05/02/2021";"1200";"28,7";"73,0";"996,9";"";"90,0";"6,0";"";"";"";"0,0"
"05/02/2021";"1800";"";"";"";"";"";"";"";"";"";""
"06/02/2021";"0000";"29,0";"71,0";"995,8";"";"230,0";"0,0";"3,00";"33,8";"";""
"06/02/2021";"1200";"29,0";"80,0";"997,9";"";"360,0";"6,0";"";"";"";"0,0"
"06/02/2021";"1800";"";"";"";"";"";"";"";"";"";""
"07/02/2021";"0000";"26,8";"77,0";"996,5";"";"0,0";"0,0";"";"";"";""
"07/02/2021";"1200";"";"";"";"";"";"";"";"";"";""
"07/02/2021";"1800";"";"";"";"";"";"";"";"";"";""
"08/02/2021";"0000";"";"";"";"";"";"";"1,80";"33,8";"";""
"08/02/2021";"1200";"28,1";"81,0";"997,0";"";"0,0";"8,0";"";"";"";"3,8"
"08/02/2021";"1800";"";"";"";"";"";"";"";"";"";""
"09/02/2021";"0000";"26,8";"83,0";"996,9";"";"360,0";"10,0";"0,00";"31,8";"";""
"09/02/2021";"1200";"26,5";"85,0";"997,4";"";"90,0";"10,0";"";"";"";"0,0"
"09/02/2021";"1800";"";"";"";"";"";"";"";"";"";""
"10/02/2021";"0000";"27,0";"79,0";"997,7";"";"360,0";"8,0";"5,80";"33,8";"";""
"10/02/2021";"1200";"26,3";"95,0";"997,8";"";"270,0";"10,0";"";"";"";"0,0"
"10/02/2021";"1800";"";"";"";"";"";"";"";"";"";""
"11/02/2021";"0000";"26,8";"78,0";"998,4";"";"360,0";"10,0";"0,60";"31,0";"";""
"11/02/2021";"1200";"29,7";"82,0";"998,1";"";"90,0";"7,0";"";"";"";"0,0"
"11/02/2021";"1800";"";"";"";"";"";"";"";"";"";""
"12/02/2021";"0000";"26,0";"90,0";"994,6";"";"360,0";"8,0";"7,40";"33,7";"";""
"12/02/2021";"1200";"28,7";"77,0";"996,3";"";"90,0";"7,0";"";"";"";"23,8"
"12/02/2021";"1800";"";"";"";"";"";"";"";"";"";""
"13/02/2021";"0000";"28,4";"84,0";"995,2";"";"360,0";"10,0";"0,00";"31,0";"";""
"13/02/2021";"1200";"23,6";"88,0";"998,3";"";"0,0";"10,0";"";"";"";"20,3"
"13/02/2021";"1800";"";"";"";"";"";"";"";"";"";""
"14/02/2021";"0000";"26,1";"96,0";"994,8";"";"360,0";"9,0";"";"";"";""
"14/02/2021";"1200";"";"";"";"";"";"";"";"";"";"0,5"
"14/02/2021";"1800";"";"";"";"";"";"";"";"";"";""
"15/02/2021";"0000";"";"";"";"";"";"";"0,00";"29,6";"";""
"15/02/2021";"1200";"24,0";"99,0";"998,0";"";"0,0";"10,0";"";"";"";"44,2"
"15/02/2021";"1800";"";"";"";"";"";"";"";"";"";""
"16/02/2021";"0000";"23,9";"96,0";"995,6";"";"360,0";"9,0";"0,00";"29,0";"";""
"16/02/2021";"1200";"24,5";"96,0";"998,4";"";"0,0";"10,0";"";"";"";"14,9"
"16/02/2021";"1800";"";"";"";"";"";"";"";"";"";""
"17/02/2021";"0000";"24,0";"99,0";"995,1";"";"360,0";"10,0";"0,00";"29,0";"";""
"17/02/2021";"1200";"25,3";"85,0";"998,1";"";"90,0";"10,0";"";"";"";"0,0"
"17/02/2021";"1800";"";"";"";"";"";"";"";"";"";""
"18/02/2021";"0000";"24,1";"95,0";"995,3";"";"0,0";"10,0";"0,00";"29,5";"";""
"18/02/2021";"1200";"24,5";"96,0";"997,9";"";"0,0";"10,0";"";"";"";"34,6"
"18/02/2021";"1800";"";"";"";"";"";"";"";"";"";""
"19/02/2021";"0000";"24,0";"99,0";"994,9";"";"0,0";"10,0";"3,70";"32,9";"";""
"19/02/2021";"1200";"25,3";"94,0";"999,5";"";"0,0";"8,0";"";"";"";"3,3"
"19/02/2021";"1800";"";"";"";"";"";"";"";"";"";""
"20/02/2021";"0000";"24,4";"87,0";"995,6";"";"0,0";"8,0";"3,60";"33,1";"";""
"20/02/2021";"1200";"25,5";"85,0";"999,0";"";"360,0";"10,0";"";"";"";"0,0"
"20/02/2021";"1800";"";"";"";"";"";"";"";"";"";""
"21/02/2021";"0000";"26,0";"80,0";"995,1";"";"360,0";"8,0";"";"";"";""
"21/02/2021";"1200";"";"";"";"";"";"";"";"";"";""
"21/02/2021";"1800";"";"";"";"";"";"";"";"";"";""
"22/02/2021";"0000";"";"";"";"";"";"";"0,00";"31,0";"";""
"22/02/2021";"1200";"25,0";"89,0";"998,9";"";"0,0";"10,0";"";"";"";"1,2"
"22/02/2021";"1800";"";"";"";"";"";"";"";"";"";""
"23/02/2021";"0000";"26,5";"90,0";"995,2";"";"0,0";"10,0";"1,60";"32,5";"";""
"23/02/2021";"1200";"24,0";"97,0";"1000,6";"";"180,0";"10,0";"";"";"";"8,5"
"23/02/2021";"1800";"";"";"";"";"";"";"";"";"";""
"24/02/2021";"0000";"26,4";"89,0";"996,3";"";"360,0";"9,0";"7,10";"32,9";"";""
"24/02/2021";"1200";"28,5";"81,0";"999,7";"";"90,0";"6,0";"";"";"";"0,0"
"24/02/2021";"1800";"";"";"";"";"";"";"";"";"";""
"25/02/2021";"0000";"26,8";"83,0";"995,8";"";"360,0";"7,0";"4,10";"33,3";"";""
"25/02/2021";"1200";"27,9";"80,0";"997,7";"";"0,0";"8,0";"";"";"";"0,0"
"25/02/2021";"1800";"";"";"";"";"";"";"";"";"";""
"26/02/2021";"0000";"26,4";"84,0";"997,7";"";"360,0";"10,0";"6,60";"33,2";"";""
"26/02/2021";"1200";"26,8";"88,0";"998,0";"";"90,0";"10,0";"";"";"";"29,8"
"26/02/2021";"1800";"";"";"";"";"";"";"";"";"";""
"27/02/2021";"0000";"27,0";"79,0";"996,7";"";"0,0";"7,0";"1,20";"33,1";"";""
"27/02/2021";"1200";"26,0";"90,0";"998,2";"";"90,0";"10,0";"";"";"";"28,8"
"27/02/2021";"1800";"";"";"";"";"";"";"";"";"";""
"28/02/2021";"0000";"25,9";"89,0";"996,9";"";"360,0";"7,0";"";"";"";""
"28/02/2021";"1200";"";"";"";"";"";"";"";"";"";""
"28/02/2021";"1800";"";"";"";"";"";"";"";"";"";""
"01/03/2021";"0000";"";"";"";"";"";"";"1,00";"31,8";"";""
"01/03/2021";"1200";"25,7";"88,0";"997,9";"";"360,0";"10,0";"";"";"";"2,0"
"01/03/2021";"1800";"";"";"";"";"";"";"";"";"";""
"02/03/2021";"0000";"26,0";"90,0";"997,7";"";"360,0";"10,0";"4,60";"31,0";"";""
"02/03/2021";"1200";"27,8";"81,0";"998,2";"";"90,0";"6,0";"";"";"";"2,2"
"02/03/2021";"1800";"";"";"";"";"";"";"";"";"";""
"03/03/2021";"0000";"25,8";"94,0";"998,2";"";"360,0";"10,0";"7,10";"32,5";"";""
"03/03/2021";"1200";"25,7";"90,0";"999,5";"";"0,0";"9,0";"";"";"";"29,9"
"03/03/2021";"1800";"";"";"";"";"";"";"";"";"";""
"04/03/2021";"0000";"25,5";"96,0";"998,8";"";"360,0";"8,0";"5,30";"32,8";"";""
"04/03/2021";"1200";"27,7";"79,0";"998,7";"";"90,0";"8,0";"";"";"";"0,0"
"04/03/2021";"1800";"";"";"";"";"";"";"";"";"";""
"05/03/2021";"0000";"26,5";"83,0";"998,5";"";"90,0";"7,0";"6,80";"32,8";"";""
"05/03/2021";"1200";"26,3";"77,0";"997,3";"";"90,0";"8,0";"";"";"";"0,0"
"05/03/2021";"1800";"";"";"";"";"";"";"";"";"";""
